move_type,row,column,time_ms,cell_before,cell_after
write,3,3,19609,,4
select,4,2,25430,,
write,4,2,31357,,3
select,3,2,32958,,
write,3,2,36511,,2
select,2,4,45262,,
write,2,4,48134,,2
select,1,1,57345,,
write,1,1,58599,,2
select,2,1,61256,,
write,2,1,62613,,3
select,2,2,69854,,
select,1,2,81342,,
select,1,4,82085,,
select,1,3,86444,,
write,1,3,87786,,3
select,2,3,88778,,
write,2,3,91924,,1
select,1,2,94750,,
select,2,1,99299,,
select,2,2,99953,,
write,2,2,104462,,4
select,1,2,105448,,
select,1,2,107287,,
write,1,2,107284,,1
