move_type,row,column,time_ms,cell_before,cell_after
write,4,2,5035,,3
select,2,4,7832,,
write,2,4,8855,,2
select,1,1,12288,,
write,1,1,13076,,2
select,3,2,14273,,
write,3,2,17095,,3
overwrite,3,2,18747,3,4
overwrite,3,2,20532,4,3
overwrite,3,2,23184,3,2
select,3,3,25432,,
write,3,3,26684,,3
overwrite,3,3,27131,3,4
select,2,1,32410,,
write,2,1,34296,,4
overwrite,2,1,35714,4,3
select,1,3,36874,,
write,1,3,37515,,3
select,2,3,38109,,
write,2,3,39347,,1
select,1,2,39910,,
write,1,2,40447,,1
select,2,2,40940,,
write,2,2,41797,,4
select,2,2,41806,,
