move_type,row,column,time_ms,cell_before,cell_after
select,2,4,29494,,
select,1,1,31245,,
write,1,1,32485,,4
select,9,5,55155,,
select,5,9,57495,,
select,1,9,62287,,
select,1,1,3110,,
write,1,1,3544,,1
select,1,2,3732,,
write,1,2,3926,,2
select,1,3,4084,,
write,1,3,4274,,3
select,1,4,4399,,
write,1,4,4611,,4
select,1,5,4742,,
write,1,5,4946,,5
select,1,6,5167,,
write,1,6,5568,,6
select,2,1,65695,,
write,2,1,66611,,1
select,3,1,67589,,
write,3,1,67700,,1
write,5,1,68868,,1
select,5,1,68744,,
select,6,1,69827,,
write,6,1,69915,,1
select,2,1,71134,,
select,1,1,71744,,
erase,1,1,72517,4,
write,1,1,72686,,1
select,9,1,74269,,
write,9,1,74439,,1
