move_type,row,column,time_ms,cell_before,cell_after,mode,dt_ms
select,,,5381,,,,5381
erase,1,1,5387,1,,pen,6
write,4,3,5390,,1,pen,1
write,4,1,5389,,4,pen,2
write,1,4,5391,,4,pen,1
write,3,4,5393,,3,pen,2
write,4,4,5394,,2,pen,1
select,3,3,14649,,,,9252
write,3,3,15769,,4,pen,1120
select,4,2,18237,,,,2468
write,4,2,19177,,3,pen,940
select,3,2,19832,,,,655
write,3,2,21346,,1,pen,1514
select,2,4,22276,,,,930
write,2,4,23291,,1,pen,1015
select,1,1,26028,,,,2737
write,1,1,26229,,1,pen,201
select,2,1,27037,,,,808
write,2,1,27916,,3,pen,879
select,1,2,31493,,,,3577
write,1,2,35356,,2,pen,3863
select,1,3,35896,,,,540
write,1,3,38366,,3,pen,2470
select,2,2,39087,,,,721
write,2,2,41508,,4,pen,2421
select,2,3,41896,,,,388
write,2,3,42884,,2,pen,988
select,,,42888,,,,4
