move_type,row,column,time_ms,cell_before,cell_after,mode,dt_ms
select,2,2,13244,,,,13244
write,2,2,14089,,4,pen,845
select,3,3,16540,,,,2451
write,3,3,17273,,4,pen,733
select,4,2,20352,,,,3079
write,4,2,20992,,3,pen,640
select,3,2,21994,,,,1002
write,3,2,22779,,2,pen,785
select,1,2,26633,,,,3854
write,1,2,27440,,1,pen,807
select,2,3,28911,,,,1471
write,2,3,29703,,1,pen,792
select,1,3,31063,,,,1360
write,1,3,31639,,3,pen,576
select,2,4,32206,,,,567
write,2,4,32779,,2,pen,573
select,2,1,33495,,,,716
write,2,1,34084,,3,pen,589
select,1,1,34692,,,,608
write,1,1,35466,,2,pen,774
select,,,35469,,,,3
